Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,ZhongYi,"Chen, Jiahao",China,"$683,666.74","$683,666.74",100.00%,"$683,666.74",100.00%
2.,Cat,"Chen, Zhengzheng",China,"$612,095.73","$1,336,719.65",45.79%,"$1,336,719.65",45.79%
3.,CS,"Xie, Chengjun",China,"$610,535.71","$642,757.50",94.99%,"$642,757.50",94.99%
4.,Yinuo,"Xu, Bicheng",China,"$598,450.28","$1,095,693.69",54.62%,"$1,095,693.69",54.62%
5.,XuanRan,"Liu, Ming",China,"$597,762.66","$597,762.66",100.00%,"$597,762.66",100.00%
6.,NuanYang,"Lin, Heng",China,"$355,766.29","$1,132,152.11",31.42%,"$1,132,152.11",31.42%
7.,XingYu,"Li, Yuhao",China,"$355,766.29","$927,821.36",38.34%,"$927,821.36",38.34%
8.,ZiMo,"Wu, Zhejie",China,"$355,766.29","$744,447.90",47.79%,"$744,447.90",47.79%
9.,HuaJuan,"Wu, Yutao",China,"$355,766.29","$634,817.52",56.04%,"$634,817.52",56.04%
10.,QiaoXi,"Zeng, Qinglong",China,"$355,766.29","$525,805.58",67.66%,"$525,805.58",67.66%
11.,1dao,"Zhong, Letian",China,"$335,215.12","$1,395,173.96",24.03%,"$1,395,173.96",24.03%
12.,Yu,"Cai, Youqi",China,"$335,215.12","$1,361,835.26",24.61%,"$1,361,835.26",24.61%
13.,Pang,"Li, Daheng",China,"$335,215.12","$1,275,476.01",26.28%,"$1,275,476.01",26.28%
14.,Yisheng,"Li, Ziwei",China,"$335,215.12","$359,786.26",93.17%,"$359,786.26",93.17%
15.,GuiQi,"Shuang, Xiaojun",China,"$335,215.12","$343,066.61",97.71%,"$343,066.61",97.71%
16.,Fanfan,"Fan, Yang",China,"$303,769.51","$1,330,389.67",22.83%,"$1,330,389.67",22.83%
17.,QingQing,"Wu, Jinxiang",China,"$231,951.58","$829,438.75",27.96%,"$829,438.75",27.96%
18.,BuRan,"Ye, Kang",China,"$231,951.58","$549,618.02",42.20%,"$549,618.02",42.20%
19.,Fx,"Yu, Xiangren",China,"$231,951.58","$231,951.59",100.00%,"$231,951.59",100.00%
20.,Zihuan,"Huang, Guangshun",China,"$210,970.93","$233,708.97",90.27%,"$233,708.97",90.27%
21.,NoFear,"Yang, Tao",China,"$209,665.72","$619,904.59",33.82%,"$619,904.59",33.82%
