Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Bubzkji,Lucas Andersen,Denmark,"$174,100.00","$308,329.19",56.47%,"$308,329.19",56.47%
2.,YEKINDAR,Mareks Gaļinskis,Latvia,"$137,100.00","$427,489.57",32.07%,"$432,589.57",31.69%
3.,sjuush,Rasmus Beck,Denmark,"$128,700.00","$617,163.09",20.85%,"$639,163.09",20.14%
4.,acoR,Frederik Gyldstrand,Denmark,"$128,700.00","$312,184.72",41.23%,"$324,284.72",39.69%
5.,roejJ,Fredrik Jørgensen,Denmark,"$128,700.00","$292,542.44",43.99%,"$320,723.50",40.13%
6.,Jame,Dzhami Ali,Russian Federation,"$128,100.00","$607,867.72",21.07%,"$693,667.72",18.47%
7.,Qikert,Aleksei Golubev,Kazakhstan,"$128,100.00","$604,154.13",21.20%,"$604,637.46",21.19%
8.,SANJI,Sanjar Kuliev,Uzbekistan,"$128,100.00","$325,242.42",39.39%,"$325,242.42",39.39%
9.,Buster,Timur Tulepov,Kazakhstan,"$126,850.00","$498,067.47",25.47%,"$503,161.82",25.21%
10.,Rush,Will Wierzba,United States of America,"$125,400.00","$634,476.87",19.76%,"$635,076.87",19.75%
11.,k0nfig,Kristian Wienecke,Denmark,"$125,400.00","$527,905.81",23.75%,"$536,247.85",23.38%
12.,blameF,Benjamin Bremer,Denmark,"$125,400.00","$312,236.08",40.16%,"$327,236.08",38.32%
13.,s1mple,Oleksandr Kostyljev,Ukraine,"$123,200.00","$1,718,355.32",7.17%,"$1,719,355.32",7.17%
14.,electroNic,Denis Sharipov,Russian Federation,"$122,700.00","$1,558,058.67",7.88%,"$1,597,258.67",7.68%
15.,Perfecto,Ilya Zalutskiy,Russian Federation,"$122,700.00","$1,155,970.78",10.61%,"$1,195,170.78",10.27%
16.,Boombl4,Kirill Sergeyevich Mikhailov,Russian Federation,"$122,700.00","$1,098,738.54",11.17%,"$1,141,538.54",10.75%
17.,flamie,Egor Vasilyev,Russian Federation,"$122,700.00","$1,040,294.48",11.79%,"$1,041,031.90",11.79%
18.,AcilioN,Asger Larsen,Denmark,"$121,912.18","$221,186.81",55.12%,"$221,186.81",55.12%
19.,poiz0n,Valentin Vasilev,Bulgaria,"$121,400.00","$302,187.54",40.17%,"$302,187.54",40.17%
20.,oBo,Owen Schlatter,United States of America,"$115,950.00","$173,815.00",66.71%,"$173,815.00",66.71%
21.,dupreeh,Peter Rasmussen,Denmark,"$114,600.00","$2,181,164.40",5.25%,"$2,195,064.40",5.22%
22.,dev1ce,Nicolai Reedtz,Denmark,"$114,600.00","$1,981,531.54",5.78%,"$2,001,654.30",5.73%
23.,Magisk,Emil Reif,Denmark,"$114,600.00","$1,881,123.63",6.09%,"$1,900,623.63",6.03%
24.,apEX,Dan Madesclaire,France,"$113,866.67","$1,298,119.05",8.77%,"$1,468,380.53",7.75%
25.,XANTARES,İsmailсan Dörtkardeş,Turkey,"$113,625.81","$430,735.93",26.38%,"$453,435.93",25.06%
26.,ZywOo,Mathieu Herbaut,France,"$112,866.67","$817,677.81",13.80%,"$980,977.81",11.51%
27.,shox,Richard Papillon,France,"$112,866.67","$829,499.83",13.61%,"$853,418.13",13.23%
28.,RpK,Cédric Guipouy,France,"$112,866.67","$524,870.95",21.50%,"$562,077.41",20.08%
29.,Misutaaa,Kévin Rabier,France,"$110,066.67","$286,715.77",38.39%,"$290,315.77",37.91%
30.,gla1ve,Lukas Rossander,Denmark,"$109,800.00","$1,869,042.41",5.87%,"$1,892,967.40",5.80%
