Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,karrigan,Finn Andersen,Denmark,"$358,016.67","$1,651,752.06",21.67%,"$1,967,102.62",18.20%
2.,rain,Håvard Nygaard,Norway,"$358,016.67","$1,444,216.24",24.79%,"$1,727,716.24",20.72%
3.,Twistzz,Russel Van Dulken,Canada,"$358,016.67","$1,546,793.10",23.15%,"$1,698,893.10",21.07%
4.,ropz,Robin Kool,Estonia,"$358,016.67","$1,181,527.41",30.30%,"$1,465,027.41",24.44%
5.,broky,Helvijs Saukants,Latvia,"$358,016.67","$828,832.41",43.20%,"$1,112,332.41",32.19%
6.,jks,Justin Savage,Australia,"$186,166.67","$660,951.43",28.17%,"$664,951.43",28.00%
7.,NiKo,Nikola Kovač,Bosnia & Herzegovina,"$176,866.67","$1,300,569.23",13.60%,"$1,341,091.80",13.19%
8.,huNter,Nemanja Kovač,Bosnia & Herzegovina,"$176,866.67","$698,500.65",25.32%,"$739,000.65",23.93%
9.,m0NESY,Ilya Osipov,Russian Federation,"$176,866.67","$401,117.61",44.09%,"$442,317.61",39.99%
10.,sjuush,Rasmus Beck,Denmark,"$169,500.00","$617,163.09",27.46%,"$639,163.09",26.52%
11.,cadiaN,Casper Møller,Denmark,"$169,500.00","$614,245.73",27.59%,"$623,345.73",27.19%
12.,TeSeS,René Madsen,Denmark,"$169,500.00","$540,740.92",31.35%,"$562,740.92",30.12%
13.,stavn,Martin Lund,Denmark,"$166,500.00","$556,137.63",29.94%,"$563,137.63",29.57%
14.,s1mple,Oleksandr Kostyljev,Ukraine,"$162,650.00","$1,718,355.32",9.47%,"$1,719,355.32",9.46%
15.,electroNic,Denis Sharipov,Russian Federation,"$162,650.00","$1,558,058.67",10.44%,"$1,597,258.67",10.18%
16.,Perfecto,Ilya Zalutskiy,Russian Federation,"$162,650.00","$1,155,970.78",14.07%,"$1,195,170.78",13.61%
17.,B1t,Valeriy Vakhovskiy,Ukraine,"$162,650.00","$1,050,707.70",15.48%,"$1,182,007.70",13.76%
18.,Jame,Dzhami Ali,Russian Federation,"$148,750.00","$607,867.72",24.47%,"$693,667.72",21.44%
19.,Qikert,Aleksei Golubev,Kazakhstan,"$148,750.00","$604,154.13",24.62%,"$604,637.46",24.60%
20.,FL1T,Evgeniy Lebedev,Russian Federation,"$148,750.00","$373,461.05",39.83%,"$459,961.05",32.34%
21.,n0rb3r7,David Danielyan,Russian Federation,"$147,600.00","$224,922.73",65.62%,"$310,722.73",47.50%
22.,fame,Pyotr Bolyshev,Russian Federation,"$147,100.00","$251,455.10",58.50%,"$337,255.10",43.62%
23.,HooXi,Rasmus Nielsen,Denmark,"$144,300.00","$397,399.70",36.31%,"$437,899.70",32.95%
24.,Jabbi,Jakob Nygaard,Denmark,"$115,900.00","$286,192.08",40.50%,"$293,192.08",39.53%
25.,YEKINDAR,Mareks Gaļinskis,Latvia,"$115,750.00","$427,489.57",27.08%,"$432,589.57",26.76%
26.,NAF,Keith Markovic,Canada,"$106,083.20","$1,228,382.06",8.64%,"$1,233,682.06",8.60%
27.,ELiGE,Jonathan Jablonowski,United States of America,"$106,083.20","$1,179,846.02",8.99%,"$1,208,896.02",8.78%
28.,nitr0,Nicholas Cannella,United States of America,"$106,083.20","$1,058,468.13",10.02%,"$1,102,508.13",9.62%
29.,oSee,Joshua Ohm,United States of America,"$106,083.20","$249,763.06",42.47%,"$249,763.06",42.47%
30.,Spinx,Lotan Giladi,Israel,"$100,100.00","$421,918.33",23.72%,"$585,218.33",17.10%
31.,HObbit,Abay Khasenov,Kazakhstan,"$96,600.00","$815,907.92",11.84%,"$855,147.92",11.30%
32.,sh1ro,Dmitry Sokolov,Russian Federation,"$96,600.00","$628,100.59",15.38%,"$723,100.59",13.36%
33.,Ax1Le,Sergey Rykhtorov,Russian Federation,"$96,600.00","$627,296.95",15.40%,"$666,496.95",14.49%
34.,nafany,Vladislav Gorshkov,Russian Federation,"$96,600.00","$608,833.92",15.87%,"$638,867.03",15.12%
35.,interz,Timofey Yakushin,Russian Federation,"$96,600.00","$542,076.34",17.82%,"$544,976.34",17.73%
36.,sdy,Victor Orudzhev,Ukraine,"$91,666.67","$298,155.25",30.74%,"$337,155.25",27.19%
37.,refrezh,Ismail Ali,Denmark,"$87,860.84","$266,134.43",33.01%,"$294,315.49",29.85%
38.,dupreeh,Peter Rasmussen,Denmark,"$87,850.00","$2,181,164.40",4.03%,"$2,195,064.40",4.00%
39.,Magisk,Emil Reif,Denmark,"$87,850.00","$1,881,123.63",4.67%,"$1,900,623.63",4.62%
40.,apEX,Dan Madesclaire,France,"$87,850.00","$1,298,119.05",6.77%,"$1,468,380.53",5.98%
41.,ZywOo,Mathieu Herbaut,France,"$87,850.00","$817,677.81",10.74%,"$980,977.81",8.96%
42.,REZ,Fredrik Sterner,Sweden,"$77,765.78","$452,511.65",17.19%,"$466,103.69",16.68%
43.,es3tag,Patrick Hansen,Denmark,"$77,765.78","$264,190.36",29.44%,"$272,532.40",28.53%
44.,Aleksib,Aleksi Virolainen,Finland,"$73,782.45","$440,491.03",16.75%,"$571,791.03",12.90%
45.,Snappi,Marco Pfeiffer,Denmark,"$73,200.00","$390,174.99",18.76%,"$427,216.54",17.13%
46.,dycha,Paweł Dycha,Poland,"$73,200.00","$315,029.61",23.24%,"$336,029.61",21.78%
