Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Sneyking,"Wu, Jingjun",United States of America,"$1,778,265.60","$2,633,383.32",67.53%,"$2,634,383.32",67.50%
2.,Skiter,Oliver Lepko,Slovakia,"$1,778,265.60","$2,283,346.88",77.88%,"$2,283,346.88",77.88%
3.,Nine,Leon Kirilin,Germany,"$1,778,265.60","$2,020,260.94",88.02%,"$2,020,260.94",88.02%
4.,Saksa,Martin Sazdov,The former Yugoslav Republic of Macedonia,"$1,770,865.60","$3,151,808.45",56.19%,"$3,151,808.45",56.19%
5.,33,Neta Shapira,Israel,"$1,748,265.60","$2,493,256.50",70.12%,"$2,493,256.50",70.12%
6.,Crystallis,Remco Arets,Netherlands,"$605,973.27","$735,198.59",82.42%,"$735,198.59",82.42%
7.,Puppey,Clement Ivanov,Estonia,"$603,098.57","$4,318,402.74",13.97%,"$4,319,622.80",13.96%
8.,Nisha,Michał Jankowski,Poland,"$603,098.57","$3,062,537.28",19.69%,"$3,062,537.28",19.69%
9.,Faith_bian,"Zhang, Ruida",China,"$598,408.60","$3,886,231.98",15.40%,"$3,886,231.98",15.40%
10.,Zayac,Bakyt Emilzhanov,Kyrgyzstan,"$594,223.27","$811,284.52",73.24%,"$811,284.52",73.24%
11.,Resolut1on,Roman Fominok,Ukraine,"$586,206.60","$2,062,483.45",28.42%,"$2,062,483.45",28.42%
12.,Ame,"Wang, Chunyu",China,"$498,408.60","$4,083,404.27",12.21%,"$4,083,404.27",12.21%
13.,y`,"Zhang, Yiping",China,"$498,408.60","$3,971,492.20",12.55%,"$3,971,492.20",12.55%
14.,XinQ,"Zhao, Zixing",China,"$498,408.60","$2,105,185.44",23.68%,"$2,105,185.44",23.68%
15.,NothingToSay,"Cheng, Jin Xiang",Malaysia,"$498,408.60","$1,894,689.53",26.31%,"$1,894,689.53",26.31%
16.,Zai,Ludwig Wåhlberg,Sweden,"$383,762.00","$4,272,661.31",8.98%,"$4,292,756.02",8.94%
17.,Boxi,Samuel Svahn,Sweden,"$383,762.00","$1,407,432.76",27.27%,"$1,449,454.46",26.48%
18.,iNsania,Aydin Sarkohi,Sweden,"$383,762.00","$1,396,835.85",27.47%,"$1,447,870.49",26.51%
19.,miCKE,Michael Vu,Sweden,"$383,762.00","$1,395,379.43",27.50%,"$1,443,447.22",26.59%
20.,Matumbaman,Lasse Urpalainen,Finland,"$363,762.00","$4,873,086.24",7.46%,"$4,873,086.24",7.46%
