Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,TaySon,Tai Starčič,Slovenia,"$479,538.87","$1,162,451.60",41.25%,"$1,162,451.60",41.25%
2.,Chapix,Moussa Faour,Sweden,"$377,823.33","$753,993.13",50.11%,"$753,993.13",50.11%
3.,Hen,Henrik Mclean,U.K. of Great Britain and Northern Ireland,"$371,618.33","$739,497.84",50.25%,"$739,497.84",50.25%
4.,Setty,Iwa Zając,Poland,"$343,040.59","$1,077,051.81",31.85%,"$1,079,251.81",31.79%
5.,teeq,Maciej Radzio,Poland,"$335,140.59","$494,621.43",67.76%,"$494,621.43",67.76%
6.,Kami,Michał Kamiński,Poland,"$334,840.59","$1,421,194.20",23.56%,"$1,421,194.20",23.56%
7.,Th0masHD,Thomas Høxbro Davidsen,Denmark,"$270,293.00","$1,120,951.84",24.11%,"$1,120,951.84",24.11%
8.,Anas,Anas El-Abd,Denmark,"$237,133.00","$1,593,377.55",14.88%,"$1,593,377.55",14.88%
9.,Queasy,Aleksa Cvetkovic,Serbia,"$236,914.00","$1,020,170.50",23.22%,"$1,020,170.50",23.22%
10.,JannisZ,Jannis Matwin,Germany,"$235,190.33","$808,603.38",29.09%,"$808,603.38",29.09%
11.,mero,Matthew Faitel,Canada,"$221,370.00","$1,008,950.00",21.94%,"$1,008,950.00",21.94%
12.,Deyy,Dejsean Hew,United States of America,"$194,460.00","$289,324.99",67.21%,"$289,324.99",67.21%
13.,rezon ay,Lennard Sill,Germany,"$193,305.00","$435,981.00",44.34%,"$435,981.00",44.34%
14.,Noahreyli,Noah Rey,Switzerland,"$191,060.00","$322,195.24",59.30%,"$322,195.24",59.30%
15.,Vadeal,Alexander Schlik,Germany,"$187,155.00","$534,260.50",35.03%,"$534,260.50",35.03%
16.,Stormyrite,Nikita Kulak,Ukraine,"$179,986.67","$314,076.20",57.31%,"$314,076.20",57.31%
17.,Toose,Ilya Chernyshov,Russian Federation,"$179,762.67","$256,087.67",70.20%,"$256,087.67",70.20%
18.,Bugha,Kyle Giersdorf,United States of America,"$176,695.00","$3,672,300.05",4.81%,"$3,684,966.72",4.80%
19.,Kiryache,Kirill Grishin,Russian Federation,"$175,997.67","$395,643.80",44.48%,"$395,643.80",44.48%
20.,Veno,Harry Pearson,U.K. of Great Britain and Northern Ireland,"$162,200.00","$766,450.96",21.16%,"$766,450.96",21.16%
21.,Slackes,- -,United States of America,"$161,226.67","$288,210.79",55.94%,"$288,210.79",55.94%
22.,Commandment,Josh Roach,United States of America,"$158,921.67","$509,723.99",31.18%,"$509,723.99",31.18%
23.,Cented,Evan Barron,Canada,"$152,721.67","$492,309.79",31.02%,"$492,309.79",31.02%
24.,Phzin,- -,Brazil,"$148,500.00","$282,925.00",52.49%,"$282,925.00",52.49%
25.,Dukez,Lucas Cardenas,Mexico,"$148,115.00","$340,853.46",43.45%,"$340,853.46",43.45%
26.,nebs,Reuben Belisle,U.K. of Great Britain and Northern Ireland,"$147,300.00","$211,043.29",69.80%,"$211,043.29",69.80%
27.,Edgey,Ben Peterson,United States of America,"$145,606.67","$511,263.15",28.48%,"$511,263.15",28.48%
28.,Tragix,Alan Nguyen,United States of America,"$144,505.00","$169,730.00",85.14%,"$169,730.00",85.14%
29.,Khanada,Leon Khim,United States of America,"$140,088.33","$559,499.67",25.04%,"$559,499.67",25.04%
30.,EpikWhale,Shane Cotton,United States of America,"$139,850.00","$1,821,187.32",7.68%,"$1,821,187.32",7.68%
31.,Acorn,Abdullah Akhras,Canada,"$137,251.67","$603,002.39",22.76%,"$603,002.39",22.76%
32.,Jur3ky,Jurica Risek,Croatia,"$133,935.00","$155,826.00",85.95%,"$155,826.00",85.95%
33.,jahq,Jack Downs,United States of America,"$133,851.67","$225,219.10",59.43%,"$225,219.10",59.43%
34.,Jamper,- -,United States of America,"$129,295.00","$244,331.70",52.92%,"$244,331.70",52.92%
35.,Trippernn,Sebastian Kjaer,Denmark,"$128,700.00","$446,341.62",28.83%,"$446,341.62",28.83%
36.,DarkHydra,Christian Lüftner,Germany,"$125,000.00","$125,000.00",100.00%,"$131,581.90",95.00%
37.,TruleX,Nikola Krudulj,Serbia,"$124,850.00","$531,292.00",23.50%,"$532,792.00",23.43%
38.,OPai,Angel Bueno,Brazil,"$124,000.00","$130,750.00",94.84%,"$130,750.00",94.84%
39.,GSX,- -,Brazil,"$124,000.00","$128,575.00",96.44%,"$128,575.00",96.44%
40.,Arkhram,Diego Lima,United States of America,"$123,370.00","$791,861.68",15.58%,"$791,861.68",15.58%
41.,MrSavage,Martin Foss,Norway,"$121,345.00","$530,530.90",22.87%,"$530,530.90",22.87%
42.,Flikk,Nikolaj Andreas Frøslev,Denmark,"$119,428.00","$234,913.00",50.84%,"$234,913.00",50.84%
43.,Andilex,Alexandre Christophe,France,"$111,693.11","$431,493.84",25.89%,"$431,493.84",25.89%
44.,Stretch,Josef Liepshutz,United States of America,"$111,686.67","$264,443.24",42.23%,"$264,443.24",42.23%
45.,AirkNn,- -,France,"$105,400.00","$117,262.67",89.88%,"$117,262.67",89.88%
46.,Chenzhiliang,Chen Zhiliang,China,"$105,000.00","$105,000.00",100.00%,"$108,000.00",97.22%
47.,K1nzell,Blaž Lešnik,Slovenia,"$104,450.00","$327,047.53",31.94%,"$327,047.53",31.94%
48.,Endretta,Endre Byre,Norway,"$104,097.00","$299,767.83",34.73%,"$299,767.83",34.73%
49.,xsweeze,Cyprien Dumonteil,France,"$103,443.11","$229,720.61",45.03%,"$229,720.61",45.03%
50.,Skram,Konrad Skram,Denmark,"$100,277.00","$303,724.41",33.02%,"$303,724.41",33.02%
51.,Reet,Nathan Amundson,United States of America,"$98,730.00","$271,668.28",36.34%,"$271,668.28",36.34%
52.,Fastroki,- -,Germany,"$97,835.00","$152,173.53",64.29%,"$152,333.53",64.22%
53.,FlowiS,Matias Albrechtsen,Denmark,"$96,735.00","$148,025.00",65.35%,"$148,025.00",65.35%
54.,Floki,Manoel Da Costa,France,"$96,474.00","$170,115.53",56.71%,"$170,115.53",56.71%
55.,4zr,Jérémy Dang,Switzerland,"$96,208.87","$252,508.88",38.10%,"$252,508.88",38.10%
56.,Bucke,Logan Eschenburg,United States of America,"$95,318.33","$250,836.39",38.00%,"$250,836.39",38.00%
57.,Hellfire,Jacob Hansen,Denmark,"$94,835.00","$228,260.00",41.55%,"$228,260.00",41.55%
58.,Refsgaard,Oscar Dalgas Refsgaard,Denmark,"$94,562.00","$342,605.66",27.60%,"$342,605.66",27.60%
59.,Decyptos,Thomas Cottu,France,"$92,474.00","$220,590.29",41.92%,"$220,590.29",41.92%
60.,Cadu,- -,Brazil,"$92,000.00","$138,250.00",66.55%,"$138,250.00",66.55%
61.,Rehx,Brodie Franks,United States of America,"$89,220.00","$228,403.33",39.06%,"$228,403.33",39.06%
62.,EloKratz,Jakob Juul,Denmark,"$89,035.00","$116,652.50",76.32%,"$116,820.46",76.22%
63.,Seeyun,Igor de Oliveira,Brazil,"$89,000.00","$191,250.00",46.54%,"$191,250.00",46.54%
64.,Hottie,- -,Denmark,"$88,435.00","$93,535.00",94.55%,"$93,535.00",94.55%
65.,MackWood,Mack Aesoph,United States of America,"$87,913.33","$395,473.33",22.23%,"$395,473.33",22.23%
66.,Clement,Clement Lesobre,France,"$87,074.00","$191,663.13",45.43%,"$191,663.13",45.43%
67.,PaMstou,Vincent Fortin,Canada,"$86,870.00","$167,347.00",51.91%,"$167,347.00",51.91%
68.,Snayzy,Idris Aichouche,France,"$86,126.11","$260,017.96",33.12%,"$260,017.96",33.12%
69.,Degen,- -,United States of America,"$83,875.00","$144,584.99",58.01%,"$144,584.99",58.01%
70.,Reverse2k,Malachi Greiner,United States of America,"$83,225.00","$352,231.92",23.63%,"$352,481.92",23.61%
71.,Ajerss,- -,United States of America,"$81,250.00","$335,860.01",24.19%,"$335,860.01",24.19%
72.,stompy,Klaus Konstanzer,Austria,"$77,500.00","$633,821.94",12.23%,"$633,821.94",12.23%
73.,MagicWind,Guoyi Zeng,China,"$76,750.00","$76,750.00",100.00%,"$123,089.01",62.35%
74.,Aqua,David Wang,Austria,"$76,685.00","$2,190,575.23",3.50%,"$2,195,575.23",3.49%
75.,Michael,- -,U.K. of Great Britain and Northern Ireland,"$74,800.00","$99,425.00",75.23%,"$104,425.00",71.63%
76.,Saf,Rocco Morales,United States of America,"$72,111.67","$1,209,607.02",5.96%,"$1,209,607.02",5.96%
77.,Muz,- -,Australia,"$70,425.00","$151,090.00",46.61%,"$151,090.00",46.61%
78.,Fishy,- -,Argentina,"$70,000.00","$141,650.00",49.42%,"$141,650.00",49.42%
79.,H4wwk,Eduardo Marques,Brazil,"$68,000.00","$79,600.00",85.43%,"$79,600.00",85.43%
80.,casqer,- -,United States of America,"$66,637.50","$132,264.17",50.38%,"$132,264.17",50.38%
81.,BenjyFishy,Benjy David Fish,U.K. of Great Britain and Northern Ireland,"$64,045.30","$638,594.34",10.03%,"$652,275.32",9.82%
82.,Dokn,- -,Japan,"$63,850.00","$75,325.00",84.77%,"$75,325.00",84.77%
83.,snacky,- -,Mexico,"$63,650.00","$142,850.00",44.56%,"$142,850.00",44.56%
84.,Pinq,Zachariah Siddall,U.K. of Great Britain and Northern Ireland,"$63,400.00","$435,301.16",14.56%,"$435,301.16",14.56%
85.,EdRoadToGlory,- -,Brazil,"$61,000.00","$121,525.00",50.20%,"$121,525.00",50.20%
86.,Safik,- -,Russian Federation,"$60,400.00","$81,300.00",74.29%,"$81,300.00",74.29%
87.,Alice,- -,Japan,"$59,820.00","$88,728.20",67.42%,"$88,728.20",67.42%
88.,Nov1ce,- -,Brazil,"$57,000.00","$126,150.00",45.18%,"$126,150.00",45.18%
89.,Buyuriru,- -,Japan,"$56,950.00","$68,475.00",83.17%,"$68,475.00",83.17%
90.,favs,- -,Canada,"$56,600.00","$158,616.66",35.68%,"$158,616.66",35.68%
91.,Paco,- -,Japan,"$56,600.00","$56,600.00",100.00%,"$56,600.00",100.00%
92.,Nayte,Nathan Berquignol,France,"$56,058.87","$558,401.11",10.04%,"$558,508.75",10.04%
93.,Avery,Jilani Bouajila,Canada,"$56,055.00","$277,675.04",20.19%,"$277,675.04",20.19%
94.,Putrick,Daniil Abdrakhmanov,Russian Federation,"$55,675.00","$220,111.81",25.29%,"$220,111.81",25.29%
95.,PeterBot,- -,United States of America,"$54,620.00","$246,286.67",22.18%,"$246,286.67",22.18%
96.,Ceice,Davis McClellan,United States of America,"$54,175.00","$1,201,415.47",4.51%,"$1,201,415.47",4.51%
97.,Matsoe,Mathijs Matsoe,Netherlands,"$53,835.30","$96,951.96",55.53%,"$96,951.96",55.53%
98.,Justice,- -,United States of America,"$53,450.00","$57,100.00",93.61%,"$57,100.00",93.61%
99.,UserZ,- -,United States of America,"$53,030.00","$60,330.00",87.90%,"$60,330.00",87.90%
100.,Verox,Jacob Gilbert,U.K. of Great Britain and Northern Ireland,"$52,450.00","$164,912.95",31.80%,"$164,912.95",31.80%
