Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Anas,Anas El-Abd,Denmark,"$1,231,575.00","$1,593,377.55",77.29%,"$1,593,377.55",77.29%
2.,Malibuca,Danila Yakovenko,Russian Federation,"$478,654.31","$868,813.65",55.09%,"$868,813.65",55.09%
3.,Queasy,Aleksa Cvetkovic,Serbia,"$393,600.00","$1,020,170.50",38.58%,"$1,020,170.50",38.58%
4.,Veno,Harry Pearson,U.K. of Great Britain and Northern Ireland,"$371,050.00","$766,450.96",48.41%,"$766,450.96",48.41%
5.,Th0masHD,Thomas Høxbro Davidsen,Denmark,"$307,375.00","$1,120,951.84",27.42%,"$1,120,951.84",27.42%
6.,Setty,Iwa Zając,Poland,"$269,400.00","$1,077,051.81",25.01%,"$1,079,251.81",24.96%
7.,Kami,Michał Kamiński,Poland,"$269,081.90","$1,421,194.20",18.93%,"$1,421,194.20",18.93%
8.,Trippernn,Sebastian Kjaer,Denmark,"$261,575.00","$446,341.62",58.60%,"$446,341.62",58.60%
9.,JannisZ,Jannis Matwin,Germany,"$259,475.00","$808,603.38",32.09%,"$808,603.38",32.09%
10.,Hen,Henrik Mclean,U.K. of Great Britain and Northern Ireland,"$246,375.00","$739,497.84",33.32%,"$739,497.84",33.32%
11.,Vadeal,Alexander Schlik,Germany,"$232,875.00","$534,260.50",43.59%,"$534,260.50",43.59%
12.,Pinq,Zachariah Siddall,U.K. of Great Britain and Northern Ireland,"$226,725.00","$435,301.16",52.08%,"$435,301.16",52.08%
13.,TaySon,Tai Starčič,Slovenia,"$225,575.00","$1,162,451.60",19.41%,"$1,162,451.60",19.41%
14.,merstachhh,Andrej Piratov,Latvia,"$218,985.91","$556,406.79",39.36%,"$556,406.79",39.36%
15.,Chapix,Moussa Faour,Sweden,"$211,294.79","$753,993.13",28.02%,"$753,993.13",28.02%
16.,zAndy,Andrei Ursu,Romania,"$198,875.00","$302,246.45",65.80%,"$302,246.45",65.80%
17.,EpikWhale,Shane Cotton,United States of America,"$197,150.00","$1,821,187.32",10.83%,"$1,821,187.32",10.83%
18.,Aqua,David Wang,Austria,"$171,350.00","$2,190,575.23",7.82%,"$2,195,575.23",7.80%
19.,mero,Matthew Faitel,Canada,"$160,075.00","$1,008,950.00",15.87%,"$1,008,950.00",15.87%
20.,Bugha,Kyle Giersdorf,United States of America,"$159,225.00","$3,672,300.05",4.34%,"$3,684,966.72",4.32%
21.,Cented,Evan Barron,Canada,"$136,100.00","$492,309.79",27.65%,"$492,309.79",27.65%
22.,Cold,- -,United States of America,"$133,125.00","$406,425.00",32.76%,"$406,425.00",32.76%
23.,Acorn,Abdullah Akhras,Canada,"$112,975.00","$603,002.39",18.74%,"$603,002.39",18.74%
24.,Joefn,- -,U.K. of Great Britain and Northern Ireland,"$106,050.00","$131,205.00",80.83%,"$131,205.00",80.83%
25.,Vortex,- -,Germany,"$101,400.00","$138,941.67",72.98%,"$138,941.67",72.98%
26.,Stormyrite,Nikita Kulak,Ukraine,"$101,350.00","$314,076.20",32.27%,"$314,076.20",32.27%
27.,Hellfire,Jacob Hansen,Denmark,"$101,250.00","$228,260.00",44.36%,"$228,260.00",44.36%
28.,Kiryache,Kirill Grishin,Russian Federation,"$100,000.00","$395,643.80",25.28%,"$395,643.80",25.28%
29.,Commandment,Josh Roach,United States of America,"$99,525.00","$509,723.99",19.53%,"$509,723.99",19.53%
30.,Avery,Jilani Bouajila,Canada,"$99,000.00","$277,675.04",35.65%,"$277,675.04",35.65%
31.,PeterBot,- -,United States of America,"$95,425.00","$246,286.67",38.75%,"$246,286.67",38.75%
32.,Edgey,Ben Peterson,United States of America,"$94,175.00","$511,263.15",18.42%,"$511,263.15",18.42%
33.,Khanada,Leon Khim,United States of America,"$90,050.00","$559,499.67",16.09%,"$559,499.67",16.09%
34.,Refsgaard,Oscar Dalgas Refsgaard,Denmark,"$89,785.50","$342,605.66",26.21%,"$342,605.66",26.21%
35.,Phzin,- -,Brazil,"$88,550.00","$282,925.00",31.30%,"$282,925.00",31.30%
36.,Kitoz,João Victor Ferreira Salgado,Brazil,"$87,950.00","$183,825.00",47.84%,"$183,825.00",47.84%
37.,Bylah,- -,United States of America,"$84,050.00","$116,425.00",72.19%,"$116,425.00",72.19%
38.,xeat,- -,Brazil,"$81,750.00","$130,850.00",62.48%,"$130,850.00",62.48%
