Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Oner,"Moon, Hyeon Joon",Republic of Korea,"$128,777.80","$314,444.19",40.95%,"$314,444.19",40.95%
2.,Faker,"Lee, Sang Hyeok",Republic of Korea,"$124,663.60","$1,582,369.76",7.88%,"$1,582,369.76",7.88%
3.,Keria,"Ryu, Min Seok",Republic of Korea,"$124,663.60","$356,427.88",34.98%,"$356,427.88",34.98%
4.,Gumayusi,"Lee, Min Hyeong",Republic of Korea,"$124,663.60","$312,006.60",39.96%,"$312,006.60",39.96%
5.,Zeus,"Choi, Woo Je",Republic of Korea,"$124,663.60","$261,547.09",47.66%,"$261,547.09",47.66%
6.,Yagao,"Zeng, Qi",China,"$117,415.64","$380,467.01",30.86%,"$380,467.01",30.86%
7.,wei,"Yan, Yang Wei",China,"$107,017.80","$215,203.38",49.73%,"$215,203.38",49.73%
8.,369,"Bai, Jiahao",China,"$103,082.64","$467,254.80",22.06%,"$467,254.80",22.06%
9.,Kanavi,"Seo, Jin Hyeok",Republic of Korea,"$103,082.64","$380,113.36",27.12%,"$380,113.36",27.12%
10.,Missing,"Lou, Yunfeng",China,"$103,082.64","$287,110.97",35.90%,"$287,110.97",35.90%
11.,hope,"Wang, Jie",China,"$103,082.64","$138,738.58",74.30%,"$138,738.58",74.30%
12.,Xiaohu,"Li, Yuanhao",China,"$101,284.60","$791,017.07",12.80%,"$791,017.07",12.80%
13.,Ming,"Shi, Senming",China,"$101,284.60","$580,139.79",17.46%,"$580,139.79",17.46%
14.,Gala,"Chen, Wei",China,"$101,284.60","$274,437.23",36.91%,"$274,437.23",36.91%
15.,bin,"Chen, Zebin",China,"$92,008.20","$360,218.05",25.54%,"$360,218.05",25.54%
16.,Juhan,"Lee, Ju Han",Republic of Korea,"$90,500.00","$92,915.11",97.40%,"$92,915.11",97.40%
17.,Peanut,"Han, Wang Ho",Republic of Korea,"$83,064.00","$662,526.93",12.54%,"$662,526.93",12.54%
18.,Deft,"Kim, Hyuk Kyu",Republic of Korea,"$81,583.33","$533,702.27",15.29%,"$533,702.27",15.29%
19.,BeryL,"Cho, Geon Hee",Republic of Korea,"$81,583.33","$401,057.83",20.34%,"$401,057.83",20.34%
20.,Pyosik,"Hong, Chang Hyeon",Republic of Korea,"$81,583.33","$141,635.96",57.60%,"$141,635.96",57.60%
21.,Kingen,"Hwang, Seong-hoon",Republic of Korea,"$81,583.33","$107,033.24",76.22%,"$107,033.24",76.22%
22.,Zeka,"Kim, Geon Woo",Republic of Korea,"$81,583.33","$95,721.87",85.23%,"$95,721.87",85.23%
23.,Doran,"Choi, Hyeon Joon",Republic of Korea,"$79,693.86","$226,014.00",35.26%,"$226,014.00",35.26%
24.,Ruler,"Park, Jae Hyuk",Republic of Korea,"$79,314.00","$815,773.29",9.72%,"$815,773.29",9.72%
25.,Chovy,"Jeong, Ji Hoon",Republic of Korea,"$79,314.00","$332,759.12",23.84%,"$332,759.12",23.84%
26.,lehends,"Son, Si Woo",Republic of Korea,"$79,314.00","$208,500.09",38.04%,"$208,500.09",38.04%
27.,JackeyLove,"Yu, Wenbo",China,"$59,215.50","$805,696.08",7.35%,"$805,696.08",7.35%
28.,Knight,"Zhuo, Ding",China,"$59,215.50","$472,863.26",12.52%,"$472,863.26",12.52%
29.,Tian,"Gao, Tianliang",China,"$59,215.50","$417,514.97",14.18%,"$417,514.97",14.18%
30.,Mark,"Ling, Xu",China,"$59,215.50","$111,320.61",53.19%,"$111,320.61",53.19%
31.,Wayward,"Huang, Renxing",China,"$59,215.50","$68,849.05",86.01%,"$68,849.05",86.01%
32.,Jojopyun,Joseph Joon Pyun,Canada,"$52,568.75","$65,568.75",80.17%,"$74,618.75",70.45%
33.,Odoamne,Andrei Pascu,Romania,"$46,910.38","$235,102.33",19.95%,"$235,102.33",19.95%
34.,Trymbi,Adrian Trybus,Poland,"$46,910.38","$122,635.78",38.25%,"$122,635.78",38.25%
35.,Larssen,Emil Larsson,Sweden,"$46,910.38","$115,587.24",40.58%,"$115,587.24",40.58%
36.,Malrang,"Kim, Geun Seong",Republic of Korea,"$46,910.38","$87,775.77",53.44%,"$87,775.77",53.44%
37.,Comp,Markos Stamkopoulos,Greece,"$46,910.38","$74,514.38",62.95%,"$74,514.38",62.95%
38.,Vulcan,Philippe Laflamme,Canada,"$43,902.08","$138,989.58",31.59%,"$138,989.58",31.59%
39.,Caps,Rasmus Borregaard Winther,Denmark,"$42,985.38","$641,193.33",6.70%,"$641,193.33",6.70%
40.,Jankos,Marcin Jankowski,Poland,"$42,985.38","$519,257.63",8.28%,"$519,257.63",8.28%
41.,BrokenBlade,Sergen Celik,Germany,"$42,985.38","$158,920.52",27.05%,"$158,920.52",27.05%
42.,Targamas,Raphaël Crabbé,Belgium,"$42,985.38","$102,282.86",42.03%,"$102,282.86",42.03%
43.,Flakked,Victor Lirola,Spain,"$42,985.38","$50,932.50",84.40%,"$50,932.50",84.40%
44.,Impact,"Jung, Eon Yeong",Republic of Korea,"$40,568.75","$611,074.73",6.64%,"$611,074.73",6.64%
45.,Inspired,Kacper Słoma,Poland,"$40,568.75","$117,866.07",34.42%,"$117,866.07",34.42%
46.,Yutapon,"Sugiura, Yuta",Japan,"$39,532.50","$191,748.24",20.62%,"$191,748.24",20.62%
47.,Steal,"Moon, Geon-yeong",Republic of Korea,"$39,532.50","$189,090.24",20.91%,"$189,090.24",20.91%
48.,Evi,"Murase, Shunsuke",Japan,"$39,532.50","$169,818.16",23.28%,"$169,818.16",23.28%
49.,Harp,"Lee, Ji-yoong",Republic of Korea,"$39,532.50","$73,421.84",53.84%,"$73,421.84",53.84%
50.,Yaharong,"Lee, Chan-ju",Republic of Korea,"$39,532.50","$47,696.11",82.88%,"$47,696.11",82.88%
51.,Zven,Jesper Svenningsen,Denmark,"$36,298.21","$379,307.39",9.57%,"$379,307.39",9.57%
