Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Knight,"Zhuo, Ding",China,"$69,352.00","$472,863.26",14.67%,"$472,863.26",14.67%
2.,bin,"Chen, Zebin",China,"$69,352.00","$360,218.05",19.25%,"$360,218.05",19.25%
3.,ON,"Luo, Wenjun",China,"$69,352.00","$194,318.96",35.69%,"$194,318.96",35.69%
4.,Elk,"Zhao, Jiahao",China,"$69,352.00","$192,138.00",36.09%,"$192,138.00",36.09%
5.,XUN,"Peng, Lixun",China,"$69,352.00","$186,932.60",37.10%,"$186,932.60",37.10%
6.,Kiin,"Kim, Gi In",Republic of Korea,"$32,594.43","$139,001.64",23.45%,"$139,001.64",23.45%
7.,Canyon,"Kim, Geon Bu",Republic of Korea,"$28,972.83","$397,292.18",7.29%,"$397,292.18",7.29%
8.,Chovy,"Jeong, Ji Hoon",Republic of Korea,"$28,972.83","$332,759.12",8.71%,"$332,759.12",8.71%
9.,lehends,"Son, Si Woo",Republic of Korea,"$28,972.83","$208,500.09",13.90%,"$208,500.09",13.90%
10.,Peyz,"Kim, Su Hwan",Republic of Korea,"$28,972.83","$120,905.85",23.96%,"$120,905.85",23.96%
11.,JackeyLove,"Yu, Wenbo",China,"$27,636.00","$805,696.08",3.43%,"$805,696.08",3.43%
12.,Meiko,"Tian, Ye",China,"$27,636.00","$574,679.97",4.81%,"$574,679.97",4.81%
13.,369,"Bai, Jiahao",China,"$27,636.00","$467,254.80",5.91%,"$467,254.80",5.91%
14.,Tian,"Gao, Tianliang",China,"$27,636.00","$417,514.97",6.62%,"$417,514.97",6.62%
15.,Creme,"Lin, Jian",China,"$27,636.00","$34,916.00",79.15%,"$34,916.00",79.15%
16.,CoreJJ,"Jo, Yong In",Republic of Korea,"$20,000.00","$706,890.36",2.83%,"$706,890.36",2.83%
17.,Impact,"Jung, Eon Yeong",Republic of Korea,"$20,000.00","$611,074.73",3.27%,"$611,074.73",3.27%
18.,Yeon,Sean Sung,United States of America,"$20,000.00","$71,475.35",27.98%,"$71,475.35",27.98%
19.,APA,Eain Stearns,United States of America,"$20,000.00","$40,152.50",49.81%,"$40,152.50",49.81%
20.,Umti,"Eom, Seong Hyeon",Republic of Korea,"$20,000.00","$32,606.72",61.34%,"$32,606.72",61.34%
21.,Caps,Rasmus Borregaard Winther,Denmark,"$17,158.64","$641,193.33",2.68%,"$641,193.33",2.68%
22.,Mikyx,Mihael Mehle,Slovenia,"$17,158.64","$363,374.21",4.72%,"$363,374.21",4.72%
23.,Hans sama,Steven Liv,France,"$17,158.64","$218,819.03",7.84%,"$218,819.03",7.84%
24.,BrokenBlade,Sergen Celik,Germany,"$17,158.64","$158,920.52",10.80%,"$158,920.52",10.80%
25.,Yike,Martin Sundelin,Sweden,"$17,158.64","$80,749.83",21.25%,"$80,749.83",21.25%
26.,Faker,"Lee, Sang Hyeok",Republic of Korea,"$12,072.01","$1,582,369.76",0.76%,"$1,582,369.76",0.76%
27.,Keria,"Ryu, Min Seok",Republic of Korea,"$12,072.01","$356,427.88",3.39%,"$356,427.88",3.39%
