Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,paraboy,"Zhu, Bocheng",China,"$292,554.81","$1,386,382.33",21.10%,"$1,386,382.33",21.10%
2.,Order,"Zeng, Zehai",China,"$214,013.41","$1,315,270.42",16.27%,"$1,315,270.42",16.27%
3.,Jimmy,"Xu, Yin-Jun",Taiwan,"$212,942.26","$1,245,858.98",17.09%,"$1,245,858.98",17.09%
4.,coolboy,"Zeng, Ronghua",China,"$212,942.26","$513,159.42",41.50%,"$513,159.42",41.50%
5.,33Svan,"Zhong, Hongsen",China,"$208,471.47","$511,077.06",40.79%,"$511,077.06",40.79%
6.,King,"Lin, Yien",Taiwan,"$201,262.56","$1,031,286.07",19.52%,"$1,031,286.07",19.52%
7.,Suk,"Feng, Shujie",China,"$195,972.12","$647,403.15",30.27%,"$647,403.15",30.27%
8.,Hasaki,"Wu, Chunjian",China,"$195,972.12","$490,968.83",39.92%,"$490,968.83",39.92%
9.,Xinhe,"Li, He",China,"$195,972.12","$389,490.59",50.31%,"$389,490.59",50.31%
10.,QingChen,"Zhang, Youquan",China,"$186,074.12","$370,061.23",50.28%,"$370,061.23",50.28%
11.,Beizhai,"Run, Ma",China,"$152,175.60","$622,162.21",24.46%,"$622,162.21",24.46%
12.,Ming,"Chen, Haoming",China,"$122,219.60","$583,027.44",20.96%,"$583,027.44",20.96%
13.,General,"Shu, Zhiqi",China,"$122,219.60","$334,699.91",36.52%,"$334,699.91",36.52%
14.,Z9,"Chen, Zixuan",China,"$121,512.60","$427,252.98",28.44%,"$427,252.98",28.44%
15.,Topboy,"Fang, Changan",China,"$121,512.60","$121,512.60",100.00%,"$121,512.60",100.00%
16.,ChengC,"Mi, Jiacheng",China,"$107,201.04","$472,663.26",22.68%,"$472,663.26",22.68%
17.,Ryzen,Muhammad Albi,Indonesia,"$88,269.00","$227,325.85",38.83%,"$227,325.85",38.83%
18.,XiaoZhi,"Chen, Zhiqiang",China,"$88,180.35","$253,263.26",34.82%,"$267,148.34",33.01%
19.,XingChen,"Xiao, Xuxin",China,"$88,180.35","$258,782.16",34.08%,"$258,782.16",34.08%
20.,ShuZhan,"Shu, Zhan",China,"$88,180.35","$180,534.11",48.84%,"$180,534.11",48.84%
21.,98k,"Su, Aolin",China,"$86,059.35","$248,101.91",34.69%,"$248,101.91",34.69%
22.,77H,"Xu, Zhouhang",China,"$86,059.35","$195,745.69",43.96%,"$195,745.69",43.96%
23.,Luxxy,Made Bagus Prabaswara,Indonesia,"$80,269.00","$260,455.49",30.82%,"$260,455.49",30.82%
24.,Zuxxy,Made Bagas Pramudita,Indonesia,"$80,269.00","$259,855.49",30.89%,"$259,855.49",30.89%
25.,MiCROBOY,Nizar Lugatio,Indonesia,"$80,269.00","$168,220.67",47.72%,"$168,220.67",47.72%
26.,Alice,Maureen Gabriella,Indonesia,"$80,269.00","$80,869.00",99.26%,"$80,869.00",99.26%
27.,86,"Tao, Lupeng",China,"$63,485.68","$100,739.99",63.02%,"$100,739.99",63.02%
28.,Acan,"Huang, Can",China,"$50,698.47","$155,482.67",32.61%,"$155,482.67",32.61%
29.,Crazy,"Yan, Jinze",China,"$49,073.28","$103,591.91",47.37%,"$103,591.91",47.37%
30.,MoXin,"Chen, Feng",China,"$49,073.28","$103,591.91",47.37%,"$103,591.91",47.37%
31.,Neid,"Qiu, Zhiqiang",China,"$48,840.80","$92,924.36",52.56%,"$92,924.36",52.56%
32.,挚爱,"Xiao, Kai",China,"$48,507.68","$171,797.58",28.24%,"$171,797.58",28.24%
33.,若败,"Yang, Chenghang",China,"$48,507.68","$101,790.10",47.65%,"$101,790.10",47.65%
34.,carrilho,Lucas Miguel,Brazil,"$47,440.00","$267,965.00",17.70%,"$267,965.00",17.70%
35.,federal,Kauan Gonçalves,Brazil,"$47,440.00","$107,381.66",44.18%,"$107,381.66",44.18%
36.,格子,"Zhang, Jianhui",China,"$47,289.04","$388,523.10",12.17%,"$388,523.10",12.17%
37.,light,"Chen, Zhihang",China,"$47,289.04","$188,605.56",25.07%,"$188,605.56",25.07%
38.,A6,"Mao, Haowu",China,"$47,289.04","$97,302.93",48.60%,"$97,302.93",48.60%
39.,Caiowski,Caio Caldatto,Brazil,"$46,981.10","$100,564.43",46.72%,"$100,564.43",46.72%
40.,dadinho,Michael Barboza,Brazil,"$46,981.10","$61,331.10",76.60%,"$61,331.10",76.60%
41.,Solkay,Alper Umut Can Ayyildiz,Turkey,"$46,534.25","$170,458.53",27.30%,"$170,458.53",27.30%
42.,Lonelycity,"Ding, Junhao",China,"$40,141.04","$40,766.24",98.47%,"$40,766.24",98.47%
43.,Eagle,"Chen, Shijie",China,"$39,665.40","$193,070.28",20.54%,"$193,070.28",20.54%
44.,FireShow,"Yi, Huang",China,"$39,665.40","$156,959.55",25.27%,"$156,959.55",25.27%
45.,陈cc,"Guo, Zhenhua",China,"$39,665.40","$66,808.64",59.37%,"$66,808.64",59.37%
46.,Spec,David Guzman,Mexico,"$38,284.00","$104,491.62",36.64%,"$104,491.62",36.64%
47.,HH24,Brayan Melamed,Honduras,"$38,284.00","$59,964.54",63.84%,"$59,964.54",63.84%
48.,Rain,Martin Duran,United States of America,"$38,284.00","$52,282.75",73.22%,"$52,282.75",73.22%
