Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Seoul,"Cho, Gi Yeol",Republic of Korea,"$302,835.88","$423,864.60",71.45%,"$423,864.60",71.45%
2.,Loki,"Park, Jung Young",Republic of Korea,"$292,835.88","$1,229,651.79",23.81%,"$1,229,651.79",23.81%
3.,Inonix,"Na, Hee Joo",Republic of Korea,"$292,835.88","$641,890.92",45.62%,"$641,890.92",45.62%
4.,Salute,"Woo, Je hyeon",Republic of Korea,"$241,245.18","$351,443.80",68.64%,"$351,443.80",68.64%
5.,TGLTN,James Giezen,Australia,"$213,568.75","$688,393.75",31.02%,"$689,193.75",30.99%
6.,hwinn,Hunter Winn,United States of America,"$186,245.50","$682,636.94",27.28%,"$683,596.94",27.24%
7.,Shrimzy,Tristan Nowicky,United States of America,"$185,645.50","$663,240.69",27.99%,"$663,240.69",27.99%
8.,M1ME,Austin Scherff,United States of America,"$182,437.50","$635,070.19",28.73%,"$635,070.19",28.73%
9.,xwudd,"Wu, Bo",China,"$167,947.78","$339,840.16",49.42%,"$339,840.16",49.42%
10.,LilGhost,"Luo, Shengjun",China,"$167,778.25","$423,848.21",39.58%,"$423,848.21",39.58%
11.,SuJiu,"Yu, Lin",China,"$167,778.25","$411,419.87",40.78%,"$411,419.87",40.78%
12.,Xbei,"Tu, ZhanYa",China,"$167,778.25","$301,826.58",55.59%,"$301,826.58",55.59%
13.,Perfect1ks,Dmytrii Dubenyuk,Ukraine,"$154,546.75","$409,544.18",37.74%,"$409,544.18",37.74%
14.,BatulinS,Aleksandr Batulin,Russian Federation,"$134,546.75","$445,827.43",30.18%,"$452,327.43",29.75%
15.,Lu,Kirill Lukyanov,Russian Federation,"$134,546.75","$430,206.18",31.27%,"$430,206.18",31.27%
16.,spyrro,Yaroslav Kuvichko,Ukraine,"$134,546.75","$427,117.18",31.50%,"$427,117.18",31.50%
17.,Summer,"Yu, Chuan",China,"$85,076.70","$417,052.39",20.40%,"$417,052.39",20.40%
18.,Himass,"La, Phuong Tien Dat",Vietnam,"$84,048.25","$133,744.38",62.84%,"$133,744.38",62.84%
19.,Heaven,"Kim, Tae Sung",Republic of Korea,"$82,930.88","$112,627.79",73.63%,"$112,627.79",73.63%
20.,Aixleft,"Zuo, Zixuan",China,"$67,142.12","$255,475.68",26.28%,"$255,475.68",26.28%
21.,CRAZY112,"Dai, Aoqi",China,"$67,042.59","$271,522.81",24.69%,"$271,522.81",24.69%
22.,Fexx,Christopher Stephen Wheddon,U.K. of Great Britain and Northern Ireland,"$59,604.25","$184,013.82",32.39%,"$184,013.82",32.39%
23.,Nannnnn,"Li, Nanjiang",China,"$59,213.66","$589,465.66",10.05%,"$589,465.66",10.05%
24.,MMing,"Chen, Yinan",China,"$58,907.15","$655,842.27",8.98%,"$655,842.27",8.98%
25.,LinShuNN,"Zeng, Ke",China,"$57,144.26","$206,771.54",27.64%,"$206,771.54",27.64%
26.,77owo,"Yang, Yuxuan",China,"$56,871.71","$116,064.99",49.00%,"$116,064.99",49.00%
27.,Cui71,"Choi, Yun Hyuk",Republic of Korea,"$55,837.69","$114,325.07",48.84%,"$114,325.07",48.84%
28.,PaoPao,"Wang, Zijun",China,"$55,405.13","$94,287.89",58.76%,"$94,287.89",58.76%
29.,HaiSaki,"Tran, Trinh Dong Hai",Vietnam,"$54,048.25","$129,839.87",41.63%,"$129,839.87",41.63%
30.,ZpYan1,"Zhou, Pinyan",China,"$52,067.66","$601,248.68",8.66%,"$601,248.68",8.66%
31.,HS,"Wang, Yanwen",China,"$50,654.96","$568,638.27",8.91%,"$568,638.27",8.91%
32.,Besto,Andrey Ionov,Russian Federation,"$50,281.25","$149,898.80",33.54%,"$149,898.80",33.54%
33.,ADOUZ1E,Roman Zinoviev,Russian Federation,"$50,156.25","$231,459.39",21.67%,"$231,459.39",21.67%
34.,DaNte,Daniil Miusskii,Russian Federation,"$50,156.25","$116,288.14",43.13%,"$116,288.14",43.13%
35.,f1lfirst,Mansur Tsimpaev,Russian Federation,"$50,156.25","$102,381.99",48.99%,"$102,381.99",48.99%
36.,xxxLu,"Wei, Daying",China,"$48,122.36","$335,194.39",14.36%,"$335,194.39",14.36%
37.,RossitedJR,Sarayut Ditkhammoh,Thailand,"$45,343.75","$77,763.73",58.31%,"$77,763.73",58.31%
38.,Thanadol,Thanadol Jutisuksant,Thailand,"$45,343.75","$46,593.75",97.32%,"$46,593.75",97.32%
39.,Shen,Anderson Chong,Malaysia,"$45,174.40","$58,526.01",77.19%,"$58,526.01",77.19%
40.,Ming,"Huang, Yiming",China,"$44,898.02","$96,147.72",46.70%,"$96,147.72",46.70%
41.,Gustav,Gustav Lykke Blønd,Denmark,"$44,818.50","$237,638.67",18.86%,"$238,138.67",18.82%
