Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,julio,Júlio Giacomelli,Brazil,"$226,030.58","$485,522.17",46.55%,"$488,009.02",46.32%
2.,Psycho,Gustavo Rigal,Brazil,"$226,030.58","$447,356.55",50.53%,"$447,356.55",50.53%
3.,pino,Gabriel Fernandes,Brazil,"$226,030.58","$422,875.30",53.45%,"$423,666.11",53.35%
4.,Muzi,Murilo Muzi,Brazil,"$226,030.58","$418,875.30",53.96%,"$418,875.30",53.96%
5.,Kamikaze,João Gomes,Brazil,"$226,030.58","$388,164.31",58.23%,"$388,164.31",58.23%
6.,nesk,André Oliveira,Brazil,"$118,776.44","$389,775.60",30.47%,"$389,775.60",30.47%
7.,Paluh,Luccas Molina,Brazil,"$118,776.44","$362,877.54",32.73%,"$362,877.54",32.73%
8.,psk1,Paulo Augusto,Brazil,"$118,776.44","$283,840.45",41.85%,"$283,840.45",41.85%
9.,xS3xyCake,Thiago Reis,Brazil,"$111,200.00","$227,366.31",48.91%,"$227,516.31",48.88%
10.,HSnamuringa,João Deam,Brazil,"$111,200.00","$217,073.83",51.23%,"$217,073.83",51.23%
11.,jlaDD,- -,Jordan,"$73,603.53","$198,950.93",37.00%,"$198,950.93",37.00%
12.,Q6Z,- -,Saudi Arabia,"$72,536.87","$178,201.73",40.70%,"$178,201.73",40.70%
13.,MadSkills,Rakan -,Saudi Arabia,"$72,536.87","$126,029.15",57.56%,"$126,029.15",57.56%
14.,MSSS,Mohammed Alghamdi,Saudi Arabia,"$72,536.87","$119,401.89",60.75%,"$119,401.89",60.75%
15.,Cyber,Jaime Ramos,Brazil,"$72,369.11","$345,122.31",20.97%,"$345,122.31",20.97%
16.,soulz1,Lucas Schinke,Brazil,"$72,369.11","$300,911.38",24.05%,"$300,911.38",24.05%
17.,cameram4n,Gabriel Hespanhol,Brazil,"$72,369.11","$259,625.28",27.87%,"$259,625.28",27.87%
18.,Astro,Leonardo Buzzachera,Brazil,"$72,369.11","$232,712.32",31.10%,"$232,712.32",31.10%
19.,Bullet1,José Victor,Brazil,"$72,369.11","$222,925.39",32.46%,"$222,925.39",32.46%
20.,p9,Fahad -,Saudi Arabia,"$71,470.20","$195,486.60",36.56%,"$195,486.60",36.56%
21.,Shaiiko,Stephane Lebleu,France,"$67,954.73","$591,099.76",11.50%,"$592,956.05",11.46%
22.,Elemzje,Bryan Tebessi,France,"$67,954.73","$517,196.08",13.14%,"$517,196.08",13.14%
23.,Renshiro,Olivier Vandroux,France,"$67,954.73","$510,989.39",13.30%,"$510,989.39",13.30%
24.,BriD,Loïc Chongthep,France,"$67,954.73","$464,540.23",14.63%,"$464,540.23",14.63%
25.,RaFaLe,Adrien Rutik,France,"$67,954.73","$259,236.72",26.21%,"$259,236.72",26.21%
26.,Alem4o,Karl Zarth,Brazil,"$66,165.29","$364,038.85",18.18%,"$364,038.85",18.18%
27.,KDS,Eduardo Chiste Fontes Santos,Brazil,"$66,165.29","$210,640.89",31.41%,"$210,640.89",31.41%
28.,Lagonis,Lorenzo Volpi,Brazil,"$66,165.29","$159,328.47",41.53%,"$159,478.47",41.49%
29.,Levy,Juliano Andrade,Brazil,"$66,165.29","$80,785.64",81.90%,"$80,785.64",81.90%
30.,Neskin,Caio Szazi,Brazil,"$66,165.29","$77,335.64",85.56%,"$77,335.64",85.56%
31.,Ayagator,Taiyo Hirayama,Japan,"$63,354.91","$132,789.30",47.71%,"$132,789.30",47.71%
32.,FelipoX,Felipe De Lucia,Brazil,"$56,352.44","$451,599.24",12.48%,"$451,599.24",12.48%
33.,LuKid,Luca Sereno,Brazil,"$56,352.44","$122,179.11",46.12%,"$122,179.11",46.12%
34.,Faallz,Kaique Moreira,Brazil,"$56,352.44","$119,562.14",47.13%,"$119,562.14",47.13%
35.,Reduct,Tassus Issi,Brazil,"$56,352.44","$119,430.69",47.18%,"$119,430.69",47.18%
36.,Rappz,Enzo Aziz,Brazil,"$56,352.44","$113,518.44",49.64%,"$113,518.44",49.64%
37.,Anitun,Reon Sakai,Japan,"$53,473.85","$156,649.14",34.14%,"$156,649.14",34.14%
38.,SuzuC,Takuma Nakajima,Japan,"$53,473.85","$155,716.44",34.34%,"$155,716.44",34.34%
39.,BlackRay,Sho Hasegawa,Japan,"$53,473.85","$155,449.14",34.40%,"$155,449.14",34.40%
40.,gatorada,Hideki Nishida,Japan,"$53,473.85","$120,542.97",44.36%,"$121,677.37",43.95%
