Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Herdsz,Gustavo Herdina,Brazil,"$204,688.78","$460,792.70",44.42%,"$460,792.70",44.42%
2.,Jv92,João Vitor,Brazil,"$204,688.78","$458,837.79",44.61%,"$458,837.79",44.61%
3.,Kheyze,Diego Zanello,Brazil,"$204,688.78","$458,584.37",44.63%,"$458,584.37",44.63%
4.,FelipoX,Felipe De Lucia,Brazil,"$204,688.78","$451,599.24",45.33%,"$451,599.24",45.33%
5.,nade,Felipe Ferreira,Brazil,"$204,688.78","$347,480.13",58.91%,"$347,480.13",58.91%
6.,Cyber,Jaime Ramos,Brazil,"$97,814.63","$345,122.31",28.34%,"$345,122.31",28.34%
7.,soulz1,Lucas Schinke,Brazil,"$97,814.63","$300,911.38",32.51%,"$300,911.38",32.51%
8.,KDS,Eduardo Chiste Fontes Santos,Brazil,"$97,814.63","$210,640.89",46.44%,"$210,640.89",46.44%
9.,VITAKING,Vitor Corrêa,Brazil,"$97,814.63","$143,442.27",68.19%,"$143,442.27",68.19%
10.,Handyy,Thiago Sa Ferreira,Brazil,"$97,814.63","$142,499.71",68.64%,"$142,499.71",68.64%
11.,ShepparD,Artur Ipatov,Russian Federation,"$50,131.38","$390,541.57",12.84%,"$390,541.57",12.84%
12.,JoyStiCK,Danil Gabov,Russian Federation,"$50,131.38","$389,970.14",12.86%,"$390,370.14",12.84%
13.,Dan,Danila Dontsov,Russian Federation,"$50,131.38","$319,774.42",15.68%,"$319,774.42",15.68%
14.,Always,Dmitry MItrahovich,Russian Federation,"$50,131.38","$234,734.02",21.36%,"$234,734.02",21.36%
15.,p4sh4,Pavel Kosenko,Russian Federation,"$50,131.38","$114,250.69",43.88%,"$114,250.69",43.88%
16.,Virtue,Jake Grannan,Australia,"$37,773.37","$393,731.82",9.59%,"$393,731.82",9.59%
17.,Alem4o,Karl Zarth,Brazil,"$37,773.37","$364,038.85",10.38%,"$364,038.85",10.38%
18.,Doki,Jack Robertson,U.K. of Great Britain and Northern Ireland,"$37,773.37","$335,944.77",11.24%,"$335,944.77",11.24%
19.,Benjamaster,Benjamin Dereli,Denmark,"$37,773.37","$287,797.12",13.12%,"$287,797.12",13.12%
20.,UUNO,Aleksi Työppönen,Finland,"$37,773.37","$172,801.67",21.86%,"$172,801.67",21.86%
21.,Hotancold,Matthew Stevens,United States of America,"$33,400.00","$214,703.33",15.56%,"$214,703.33",15.56%
22.,CTZN,Ben McMillian,U.K. of Great Britain and Northern Ireland,"$33,000.00","$173,671.72",19.00%,"$173,671.72",19.00%
23.,Canadian,Troy Jaroslawski,Canada,"$32,000.00","$491,661.90",6.51%,"$491,661.90",6.51%
24.,Beaulo,Jason Doty,United States of America,"$32,000.00","$408,185.00",7.84%,"$408,185.00",7.84%
