Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Arsenal,Tshaka Taylor,United States of America,"$82,625.87","$331,604.62",24.92%,"$331,604.62",24.92%
2.,Fairy Peak!,Victor Locquet,France,"$82,136.67","$413,984.90",19.84%,"$413,984.90",19.84%
3.,Sypical,Caden Pellegrin,United States of America,"$81,542.53","$442,646.72",18.42%,"$442,646.72",18.42%
4.,jstn.,Justin Morales,United States of America,"$79,715.79","$492,946.97",16.17%,"$493,086.97",16.17%
5.,Kaydop,Alexandre Courant,France,"$79,393.34","$529,924.96",14.98%,"$529,924.96",14.98%
6.,GarrettG,Garrett Gordon,United States of America,"$79,090.79","$541,381.69",14.61%,"$541,521.69",14.61%
7.,Alpha54,Yanis Champenois,France,"$77,476.35","$550,836.54",14.07%,"$550,836.54",14.07%
8.,mist,Nick Costello,United States of America,"$72,907.45","$318,517.08",22.89%,"$318,657.08",22.88%
9.,Atomic,Massimo Franceschi,United States of America,"$72,774.12","$500,518.72",14.54%,"$500,518.72",14.54%
10.,Turbopolsa,Pierre Silfver,Sweden,"$71,382.45","$441,120.05",16.18%,"$441,260.05",16.18%
11.,SquishyMuffinz,Mariano Arruda,Canada,"$68,887.45","$494,505.62",13.93%,"$494,565.62",13.93%
12.,M0nkey M00n,Evan Rogez,France,"$67,560.32","$709,445.65",9.52%,"$709,445.65",9.52%
13.,Extra,Alexandre Paoli,France,"$66,581.94","$462,571.79",14.39%,"$462,571.79",14.39%
14.,Marc_by_8,Marc Domingo,Spain,"$66,449.49","$238,546.37",27.86%,"$238,546.37",27.86%
15.,Chicago,Reed Wilen,United States of America,"$66,415.78","$539,830.38",12.30%,"$539,890.38",12.30%
16.,Rizzo,Dillon Rizzo,United States of America,"$65,272.45","$223,917.13",29.15%,"$223,917.13",29.15%
17.,Retals,Slater Thomas,United States of America,"$63,624.12","$295,711.23",21.52%,"$295,711.23",21.52%
18.,JKnaps,Jacob Knapman,Canada,"$62,149.12","$569,520.94",10.91%,"$569,520.94",10.91%
19.,Aztral,Maello Ernst,Belgium,"$58,300.78","$214,062.47",27.24%,"$214,062.47",27.24%
20.,ViolentPanda,Jos van Meurs,Netherlands,"$47,707.45","$308,117.18",15.48%,"$308,117.18",15.48%
21.,Yukeo,Maurice Weihs,Austria,"$43,677.45","$145,810.72",29.95%,"$145,810.72",29.95%
22.,Firstkiller,Jason Corral,United States of America,"$39,674.12","$450,458.72",8.81%,"$450,458.72",8.81%
23.,Kassio,Andy Landais,France,"$38,694.87","$163,713.57",23.64%,"$163,713.57",23.64%
24.,FlamE,Jack Pearton,U.K. of Great Britain and Northern Ireland,"$38,253.51","$108,538.03",35.24%,"$108,538.03",35.24%
25.,Allushin,Braxton Lagarec,Canada,"$37,199.12","$128,051.30",29.05%,"$128,051.30",29.05%
26.,Zamué,Samuel Cortés,Spain,"$35,061.76","$55,027.24",63.72%,"$55,027.24",63.72%
27.,AxB,Alexandre Bellemare,Canada,"$34,809.20","$79,626.58",43.72%,"$79,626.58",43.72%
28.,Stake,Marc Plujà,Spain,"$34,311.76","$79,071.81",43.39%,"$79,071.81",43.39%
29.,archie,Archie Pickthall,U.K. of Great Britain and Northern Ireland,"$33,451.59","$188,767.30",17.72%,"$188,767.30",17.72%
30.,Kronovi,Cameron Bills,United States of America,"$33,121.25","$160,156.97",20.68%,"$160,156.97",20.68%
31.,AYYJAYY,Austin Aebi,United States of America,"$31,907.29","$348,999.28",9.14%,"$349,059.28",9.14%
32.,Deevo,David Morrow,U.K. of Great Britain and Northern Ireland,"$31,042.75","$269,198.90",11.53%,"$269,198.90",11.53%
