Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Reynor,Riccardo Romiti,Italy,"$203,775.77","$759,485.59",26.83%,"$759,485.59",26.83%
2.,Oliveira,"Li, Peinan",China,"$184,928.72","$437,980.25",42.22%,"$437,980.25",42.22%
3.,Maru,"Cho, Sung Choo",Republic of Korea,"$128,976.20","$1,296,583.05",9.95%,"$1,296,583.05",9.95%
4.,Cure,"Kim, Doh Wook",Republic of Korea,"$128,590.55","$431,862.77",29.78%,"$431,862.77",29.78%
5.,Serral,Joona Sotala,Finland,"$117,105.66","$1,483,291.82",7.89%,"$1,483,291.82",7.89%
6.,herO,"Kim, Joon Ho",Republic of Korea,"$96,905.23","$558,951.03",17.34%,"$558,951.04",17.34%
7.,Solar,"Kang, Min Soo",Republic of Korea,"$92,469.10","$602,515.88",15.35%,"$602,515.88",15.35%
8.,Dark,"Park, Ryung Woo",Republic of Korea,"$87,270.51","$1,092,559.07",7.99%,"$1,092,559.07",7.99%
9.,Clem,Clément Desplanches,France,"$86,679.87","$344,766.09",25.14%,"$345,166.09",25.11%
10.,ByuN,"Byun, Hyun Woo",Republic of Korea,"$60,033.03","$603,456.87",9.95%,"$603,456.87",9.95%
11.,SHIN,"Shin, Hee Bum",Republic of Korea,"$51,377.12","$236,701.26",21.71%,"$236,701.26",21.71%
12.,Classic,"Kim, Doh Woo",Republic of Korea,"$47,014.23","$553,384.54",8.50%,"$556,064.59",8.45%
13.,Spirit,Piotr Walukiewicz,Poland,"$38,142.98","$114,396.12",33.34%,"$114,396.12",33.34%
14.,GuMiho,"Koh, Byung Jae",Republic of Korea,"$36,759.67","$310,514.67",11.84%,"$310,514.67",11.84%
15.,MaxPax,Max C.,Denmark,"$36,483.01","$97,010.19",37.61%,"$97,010.19",37.61%
16.,Elazer,Mikołaj Ogonowski,Poland,"$29,648.38","$332,986.34",8.90%,"$334,686.34",8.86%
17.,Creator,"Jang, Hyun Woo",Republic of Korea,"$29,051.89","$231,025.92",12.58%,"$231,025.92",12.58%
18.,Astrea,Max Angel,United States of America,"$28,741.73","$159,604.10",18.01%,"$159,604.10",18.01%
19.,HeRoMaRinE,Gabriel Segat,Germany,"$28,649.48","$330,978.45",8.66%,"$330,978.45",8.66%
20.,ShoWTimE,Tobias Sieber,Germany,"$25,264.64","$367,850.07",6.87%,"$367,850.07",6.87%
21.,Lambo,Julian Brosig,Germany,"$17,607.97","$164,006.31",10.74%,"$164,006.31",10.74%
22.,MC,"Jang, Min Chul",Republic of Korea,"$17,500.00","$527,271.79",3.32%,"$527,352.06",3.32%
23.,SpeCial,Juan Carlos Lopez,Mexico,"$16,206.86","$463,079.08",3.50%,"$463,329.08",3.50%
24.,Scarlett,Sasha Hostyn,Canada,"$14,282.84","$461,816.87",3.09%,"$465,550.07",3.07%
25.,Kelazhur,Diego Schwimer,Brazil,"$13,803.20","$206,348.67",6.69%,"$207,101.74",6.66%
26.,SKillous,Nikita Gurevich,Russian Federation,"$12,929.97","$73,438.68",17.61%,"$73,453.38",17.60%
27.,Stephano,Ilyes Satouri,France,"$12,500.00","$320,929.72",3.89%,"$321,679.20",3.89%
