ID;Country;earnings;Player count
1.;United States of America;$4,537,129.76;1608 Players
2.;China;$4,159,931.47;516 Players
3.;Brazil;$3,052,716.25;533 Players
4.;Russian Federation;$2,959,869.71;412 Players
5.;Republic of Korea;$1,727,213.89;403 Players
6.;Denmark;$1,126,408.74;155 Players
7.;Taiwan;$1,050,764.77;66 Players
8.;Japan;$946,014.68;302 Players
9.;Philippines;$905,116.34;157 Players
10.;U.K. of Great Britain and Northern Ireland;$894,191.32;382 Players
11.;France;$884,562.24;432 Players
12.;Germany;$736,222.44;336 Players
13.;Ukraine;$586,988.37;134 Players
14.;Canada;$526,627.78;205 Players
15.;Sweden;$512,875.15;127 Players
16.;Australia;$510,015.77;407 Players
17.;Poland;$509,005.99;236 Players
18.;Finland;$434,428.38;108 Players
19.;Spain;$420,977.76;149 Players
20.;Saudi Arabia;$408,985.24;369 Players
21.;Indonesia;$364,685.66;119 Players
22.;Peru;$348,605.04;82 Players
23.;Slovakia;$346,049.78;25 Players
24.;India;$331,741.27;199 Players
25.;Hong Kong;$326,702.68;22 Players
26.;Netherlands;$313,238.76;141 Players
27.;Turkey;$290,779.96;111 Players
28.;Malaysia;$288,257.92;87 Players
29.;Belarus;$279,702.94;55 Players
30.;Argentina;$269,804.34;137 Players
31.;Mexico;$258,850.44;124 Players
32.;Jordan;$252,667.14;21 Players
33.;Norway;$243,107.17;61 Players
34.;Thailand;$229,838.50;115 Players
35.;Israel;$217,774.21;26 Players
36.;Portugal;$205,252.94;106 Players
37.;Latvia;$190,641.63;14 Players
38.;Romania;$179,293.41;50 Players
39.;Mongolia;$158,464.95;50 Players
40.;Italy;$156,707.70;95 Players
41.;Vietnam;$147,440.28;167 Players
42.;Serbia;$146,639.17;34 Players
43.;Pakistan;$142,425.25;85 Players
44.;Kazakhstan;$129,542.45;24 Players
45.;Lithuania;$127,535.20;25 Players
46.;Dominican Republic;$125,243.75;9 Players
47.;Belgium;$124,320.99;76 Players
48.;Czech Republic;$118,926.64;103 Players
49.;Morocco;$105,148.85;15 Players
50.;Estonia;$103,744.58;10 Players
51.;Austria;$100,584.51;39 Players
52.;Moldova, Republic of;$98,560.25;5 Players
53.;Singapore;$87,729.51;58 Players
54.;Bosnia & Herzegovina;$73,667.86;13 Players
55.;South Africa;$70,339.95;69 Players
56.;Chile;$65,943.82;70 Players
57.;Georgia;$61,100.00;3 Players
58.;Armenia;$59,058.33;10 Players
59.;Bulgaria;$55,358.73;26 Players
60.;Senegal;$54,388.19;5 Players
61.;Egypt;$47,028.06;27 Players
62.;Bolivia;$45,704.76;4 Players
63.;Iran (Islamic Republic of);$45,078.40;9 Players
64.;Lebanon;$44,595.73;7 Players
65.;Hungary;$43,315.44;34 Players
66.;Switzerland;$42,717.16;46 Players
67.;New Zealand;$42,501.36;47 Players
68.;Slovenia;$39,173.40;39 Players
69.;Kuwait;$27,690.00;29 Players
70.;The former Yugoslav Republic of Macedonia;$24,484.42;7 Players
71.;Myanmar;$21,800.00;8 Players
72.;Guatemala;$21,400.00;6 Players
73.;Montenegro;$21,270.00;3 Players
74.;Bahrain;$17,936.64;16 Players
75.;Lao People's Democratic Republic;$15,240.00;6 Players
76.;United Arab Emirates;$14,330.92;19 Players
77.;Greece;$14,112.60;21 Players
78.;Algeria;$13,623.27;16 Players
79.;Croatia;$13,252.59;28 Players
80.;Uzbekistan;$12,309.14;20 Players
81.;Uruguay;$12,167.42;13 Players
82.;Ireland;$11,356.81;18 Players
83.;Azerbaijan;$10,300.00;6 Players
84.;Afghanistan;$10,000.00;1 Player
85.;Macao;$8,430.60;1 Player
86.;Cuba;$7,950.00;2 Players
87.;Colombia;$7,284.89;16 Players
88.;Nicaragua;$6,700.00;1 Player
89.;Iceland;$6,430.00;12 Players
90.;Puerto Rico;$6,340.73;9 Players
91.;Luxembourg;$5,300.53;2 Players
92.;Cambodia;$5,200.00;2 Players
93.;Kyrgyzstan;$5,183.33;3 Players
94.;Qatar;$4,998.33;10 Players
95.;Iraq;$4,694.83;9 Players
96.;Panama;$4,510.73;3 Players
97.;Venezuela;$4,243.62;9 Players
98.;Oman;$4,125.00;9 Players
99.;Yemen;$3,600.00;3 Players
100.;Syrian Arab Republic;$3,082.69;6 Players
101.;Reunion;$3,000.00;13 Players
102.;Costa Rica;$2,553.84;4 Players
103.;Isle of Man;$2,000.00;1 Player
104.;Palestine, State of;$1,713.33;2 Players
105.;El Salvador;$1,700.00;2 Players
106.;Kosovo, Republic of;$1,700.00;2 Players
107.;Mauritius;$1,693.27;10 Players
108.;Trinidad and Tobago;$1,618.10;1 Player
109.;Malta;$1,420.35;5 Players
110.;Libyan Arab Jamahiriya;$1,343.80;3 Players
111.;Ecuador;$1,250.00;2 Players
112.;Albania;$1,243.43;2 Players
113.;Honduras;$1,040.00;3 Players
114.;Cameroon;$1,000.00;1 Player
115.;Maldives;$750.00;4 Players
116.;Bangladesh;$400.00;3 Players
117.;Côte d'Ivoire;$372.32;1 Player
118.;Kenya;$372.32;1 Player
119.;New Caledonia;$325.00;1 Player
120.;Paraguay;$300.00;2 Players
121.;Brunei Darussalam;$253.99;1 Player
122.;French Polynesia;$215.71;1 Player
123.;Suriname;$200.00;1 Player
124.;Gibraltar;$120.00;1 Player
125.;Ghana;$100.00;1 Player
126.;Mozambique;$100.00;1 Player
127.;Tunisia;$75.00;1 Player
128.;Cyprus;$21.93;1 Player
